"name";"slug";"id";"nMembers";"members";"repo_name";"url"
"IA_2020_2021";"ia_2020_2021";4561128;88;"oscarperpinan, danieldelacruzredondo, idebenitog, mloboo, amayore, zeqilin, MMPablo, David2Santos, arguor, eduardo-luque, lucia-phermosa, Gabriel-Rpascual, andresrosouto, ismael45, monicasacristans, r-roca, inesrico, gema-upm, pmartinezconde, yikaizhan, Alvarorico, javierrobi, JaviNico, Iris281, CarlosMiguelMartin, alejandro55393, VALERIRAMIREZ, Pabloroosario, almumurillo, JoseBravoV, amelie-nader-prieto, luc-39, Fer014, nataliamiguel, Jimenalopez02, marta-sferrer, aitana-martinez, carolplaza, echedey-luis-alvarez, luisrubio27, Celia-t22, andrianadovhanych, SergioGH-byte, Engarto, DiegoRamirezFuente, LauraHCampos, rodrimarvar, gabrieltur, PabloSanchz, Dianaperucho, LuisVicenteGordon, javiermonrio, Raul-Granadero, Eugenio-Fernandez, roberto53444-lang, OmarFL, davidpintollorente, albertolopezramos, sofiatoledo, TianYaoLin, almuperezzz, PatriciaPlazaRamos, laurasedanomolero, rgladron, j-riveiro, AlbertoCL22, AlvaroLVillarroel, dinner123, tobiaskos, jhuirse, Mario1910, juanignacio-martin, nuria0509, j-gasco, amba191, Srsanz, iriatourino01, antoniogmontes, AnaArroyo55130, Jorge-88, victorbarreralopez, pedrogallardolozano, AlbertoBazan, Crisboned, Ikercasti, Lucas-Go-Vel, daniel-fuertes, JesusPachecoAlonso";"registro-estudiantes-ia_2020_2021";"https://github.com/aigora/registro-estudiantes-ia_2020_2021"
"IE_2020_2021";"ie_2020_2021";4561134;89;"oscarperpinan, nicoascastrogarcia, ignaciocartes99, PabloBasoaDomingo, Joshgv25, Christian7600, solomiyahav, luciaalvarezdiaz, estebanhenriquez, Dionicaballero, reginagomez, DiegoBastida, AliciaFernandezS, osamabouatman, arturomm, diegomg99, AdriUpm, luciaalcorada, mcsirvent, SolracZ21, Alopez-hermida, manusandin, AdriTeixeHax, Vegely, Yuan-Qian-XD, Marco-Antonio-Pinto, matiaspolo, Alejandroillera, abrahampumarada, Luispdelmazo, Luislagu, jsdefrancisco, truji12, JoseUmiri, Jorgebpinedo, Marpiki11, angiguoyin, alejandrobeltransuarez1, lucasceezar, Nachofdez2708, HernanQuillere, Alejandro-Montero-Porras, inigoazqueta, rubencasstro, OscarSaez02, jesuppedia, AlvaroMartin3, samuelpolo59, SrGnar, DenizAlcobendas, jesusalejandropalomino, gonzalopeinado, fernandoriverobrenosa, Gabriel-S-J, hectorgutierrezv, juliamgy, JorgeBachiller, GuillermoQueroPonce, Javierdelahoz4, LuisMiguelMuro, DanielGarciaArana, Davidd02, joseenriqueespinoza99, Josebermen, AlvaroVelascoMuela, Azuazuazu, MarcosML02, MarioTorre, JuanNicolasJimenez, MiguelGV22, dcblasco, Edufdezg, elenacasellas, Saul-Marcos, InesMelendez, aamontoya, lodelolmo, fzpabloo, FabioLebron, Carlos-ramirez02, victorport, marta-garrido-algaba, jorge-sanchez-serafin, alvarocamposupm, DiegoFernandesAlves, sergioariasblanco, JorgemarquezUPM, Franganillo74, IgnacioBravo013";"registro-estudiantes-ie_2020_2021";"https://github.com/aigora/registro-estudiantes-ie_2020_2021"
"info";"info";4625552;4;"loarte, marcossssss, nataliaaaajm, mariacdl";"twIA_2021-info";"https://github.com/aigora/twIA_2021-info"
"ingenieritas 0.2";"ingenieritas-0-2";4601285;4;"luciaalvarezdiaz, reginagomez, AliciaFernandezS, luciaalcorada";"twIE_2021-ingenieritas-0-2";"https://github.com/aigora/twIE_2021-ingenieritas-0-2"
"Interrail europe";"interrail-europe";4631464;2;"marinarx20, andreablas";"twIQ_2021-interrail-europe";"https://github.com/aigora/twIQ_2021-interrail-europe"
"IQ_2020_2021";"iq_2020_2021";4561118;60;"oscarperpinan, susanagonzalezmiguel, ManuelTaboada, Diego105, marinarx20, andreablas, davidmolano25, heeeectorito, IkertxoGM, Javierelmasblanco, nerearodriguezlopez, MasterCus, Adri100, MrBotKa, Moiseees, CeliaGonz, danicuellar, e-aliaga, iriax, Violetacarrascal, miguelagueda1, Escobar-klk, valeeria15, adrianlan79, marcosvasallo9, mballard02, antonioporrashervella, arturobcas, Patrycya, martalinan, anaboston, Edvardo888, JesusRinaldi, alejandrogomez27, pcantin8, aaronnieto, GonzaloGV13, SergioRodrigu, Constan-14, darlennev, Danileganes06, Samuuu-r, Rq2021, Edvardo87, MartinNieto, ismaelsaiz, Diegosillero, alfredosecades, Kattyvasq, Danielgomezchaves, susanaramos02, bejar08, anarecio02, SoyJaimeXD, listo2020, FaduaJaber, GabiNavarroNavarro, zhiqinHU, Miragallas, phelpslaorg";"registro-estudiantes-iq_2020_2021";"https://github.com/aigora/registro-estudiantes-iq_2020_2021"
"Jardín_Automatizado";"jardin_automatizado";4606759;4;"LuisVicenteGordon, javiermonrio, Franxcus, JaimeTomeR";"twIA_2021-jardin_automatizado";"https://github.com/aigora/twIA_2021-jardin_automatizado"
"J_A_Y_";"j_a_y_";4613529;3;"Yuan-Qian-XD, JoseUmiri, angiguoyin";"twIE_2021-j_a_y_";"https://github.com/aigora/twIE_2021-j_a_y_"
"LABERINTO";"laberinto";4614601;4;"abrahampumarada, Luispdelmazo, Jorgebpinedo, LuisMiguelMuro";"twIE_2021-laberinto";"https://github.com/aigora/twIE_2021-laberinto"
"Lector_de_textos";"lector_de_textos";4626245;5;"monicasacristans, Cnbados55380, alejandro55393, Pabloroosario, almumurillo";"twIA_2021-lector_de_textos";"https://github.com/aigora/twIA_2021-lector_de_textos"
"Matpack";"matpack";4615036;3;"Luislagu, alejandrobeltransuarez1, gonzalosta";"twIE_2021-matpack";"https://github.com/aigora/twIE_2021-matpack"
"Memoriza";"memoriza";4625218;3;"Javierelmasblanco, Adri100, PabloHuete";NA;NA
"Mercado_ETSIDI";"mercado_etsidi";4614984;4;"diegomg99, hectorgutierrezv, joseenriqueespinoza99, InesMelendez";"twIE_2021-mercado_etsidi";"https://github.com/aigora/twIE_2021-mercado_etsidi"
"MultiJuegos";"multijuegos";4622988;3;"maikadelsol, martalinan, estherglez02";"twIQ_2021-multijuegos";"https://github.com/aigora/twIQ_2021-multijuegos"
"multijuegos.";"multijuegos-1";4631674;1;"maikadelsol";NA;NA
"Multimetro_digital";"multimetro_digital";4607162;6;"amayore, r-roca, inesrico, gema-upm, roberto53444-lang, iriatourino01";"twIA_2021-multimetro_digital";"https://github.com/aigora/twIA_2021-multimetro_digital"
"Organizador_Hospital";"organizador_hospital";4610700;5;"jqviy, Avalcarcelg, JA1Me23, ASB02, pablovanden";"twIA_2021-organizador_hospital";"https://github.com/aigora/twIA_2021-organizador_hospital"
"PARKING";"parking";4606919;3;"LauraHCampos, rodrimarvar, gabrieltur";"twIA_2021-parking";"https://github.com/aigora/twIA_2021-parking"
"PARKING_PÚBLICO";"parking_publico";4601118;3;"idebenitog, victoraragonesp, MMPablo";"twIA_2021-parking_publico";"https://github.com/aigora/twIA_2021-parking_publico"
"piscina_automatizada";"piscina_automatizada";4587477;5;"nataliamiguel, Jimenalopez02, marta-sferrer, aitana-martinez, carolplaza";"twIA_2021-piscina_automatizada";"https://github.com/aigora/twIA_2021-piscina_automatizada"
"Plotter - Lector";"plotter-lector";4597810;5;"Engarto, Claudia1130, QINGYUN-XU, Dianaperucho, rgladron";"twIA_2021-plotter-lector";"https://github.com/aigora/twIA_2021-plotter-lector"
"POKER";"poker";4611706;4;"PabloBasoaDomingo, DenizAlcobendas, aamontoya, sergioariasblanco";"twIE_2021-poker";"https://github.com/aigora/twIE_2021-poker"
"Poyecto_TETRIS";"poyecto_tetris";4620056;3;"Santiago-Carazo, Josebermen, fzpabloo";"twIE_2021-poyecto_tetris";"https://github.com/aigora/twIE_2021-poyecto_tetris"
"Profesores";"profesores";3106672;5;"oscarperpinan, raquelcedazo, joaquinggi, CeciliaGarciaC, antoniozanon";"punto_inicio";"https://github.com/aigora/punto_inicio"
"Proyecto Buque Insignia";"proyecto-buque-insignia";4602270;4;"AdriTeixeHax, matiaspolo, JorgeBachiller, danielsotoaguilar";"twIE_2021-proyecto-buque-insignia";"https://github.com/aigora/twIE_2021-proyecto-buque-insignia"
"Proyecto Busca Minas";"proyecto-busca-minas";4621157;4;"jesuppedia, AlvaroMartin3, MarcosML02, JorgemarquezUPM";"twIE_2021-proyecto-busca-minas";"https://github.com/aigora/twIE_2021-proyecto-busca-minas"
"Proyecto Mijas";"proyecto-mijas";4617796;3;"ignaciocartes99, DiegoBastida, DiegoFernandesAlves";"twIE_2021-proyecto-mijas";"https://github.com/aigora/twIE_2021-proyecto-mijas"
"Proyecto Pacman";"proyecto-pacman";4598318;4;"Alopez-hermida, lgonzalogr, Alejandroillera, truji12";"twIE_2021-proyecto-pacman";"https://github.com/aigora/twIE_2021-proyecto-pacman"
"Proyecto Scape Room";"proyecto-scape-room";4614691;4;"OscarSaez02, Carlos-ramirez02, marta-garrido-algaba, jorge-sanchez-serafin";"twIE_2021-proyecto-scape-room";"https://github.com/aigora/twIE_2021-proyecto-scape-room"
"PROYECTO.dellping";"proyecto-dellping";4611115;4;"lucasceezar, elenacasellas, lodelolmo, danifdeezz";"twIE_2021-proyecto-dellping";"https://github.com/aigora/twIE_2021-proyecto-dellping"
"Proyecto_ASFJ";"proyecto_asfj";4606875;4;"juliamgy, Azuazuazu, FabioLebron, Sergio-MJ";"twIE_2021-proyecto_asfj";"https://github.com/aigora/twIE_2021-proyecto_asfj"
"Proyecto_atrapaDOSmillones";"proyecto_atrapadosmillones";4617659;3;"gonzalopeinado, Davidd02, MiguelGV22";"twIE_2021-proyecto_atrapadosmillones";"https://github.com/aigora/twIE_2021-proyecto_atrapadosmillones"
"Proyecto_CDL";"proyecto_cdl";4620082;4;"manusandin, HernanQuillere, alvaroorequenaa, Cholis2020";"twIE_2021-proyecto_cdl";"https://github.com/aigora/twIE_2021-proyecto_cdl"
"Proyecto_Dado_Mentiroso_2021";"proyecto_dado_mentiroso_2021";4607180;3;"Christian7600, rubencasstro, SrGnar";"twIE_2021-proyecto_dado_mentiroso_2021";"https://github.com/aigora/twIE_2021-proyecto_dado_mentiroso_2021"
"Proyecto_trafico";"proyecto_trafico-1";4610498;5;"sofiatoledo, TianYaoLin, almuperezzz, PatriciaPlazaRamos, laurasedanomolero";"twIA_2021-proyecto_trafico-1";"https://github.com/aigora/twIA_2021-proyecto_trafico-1"
"Proyecto_Web_Cuestionarios";"proyecto_web_cuestionarios";4615378;4;"Nachofdez2708, inigoazqueta, Javierdelahoz4, Edufdezg";"twIE_2021-proyecto_web_cuestionarios";"https://github.com/aigora/twIE_2021-proyecto_web_cuestionarios"
"Proyecto_X_S.A.";"proyecto_x_s-a";4581067;3;"Marco-Antonio-Pinto, Marpiki11, Alejandro-Montero-Porras";"twIE_2021-proyecto_x_s-a";"https://github.com/aigora/twIE_2021-proyecto_x_s-a"
"Proyect_X";"proyect_x";4620964;4;"Gabriel-S-J, GuillermoQueroPonce, AlvaroVelascoMuela, MarioTorre";"twIE_2021-proyect_x";"https://github.com/aigora/twIE_2021-proyect_x"
"Reproductor_MP3";"reproductor_mp3";4606626;6;"mloboo, zeqilin, arguor, andresrosouto, VALERIRAMIREZ, amba191";"twIA_2021-reproductor_mp3";"https://github.com/aigora/twIA_2021-reproductor_mp3"
"Reserva restaurante";"reserva-restaurante";4627714;2;"susanagonzalezmiguel, mariagodoy14";"twIQ_2021-reserva-restaurante";"https://github.com/aigora/twIQ_2021-reserva-restaurante"
"Rol-Unity-C++";"rol-unity-c";4602536;6;"Opherox, pmartinezconde, carlosmendozacarpintero, yikaizhan, umartinezr, DiegoRPeinado";"twIA_2021-rol-unity-c";"https://github.com/aigora/twIA_2021-rol-unity-c"
"Ruleta 2021";"ruleta-2021";4618087;3;"jsdefrancisco, jesusalejandropalomino, Saul-Marcos";"twIE_2021-ruleta-2021";"https://github.com/aigora/twIE_2021-ruleta-2021"
"Seguidor de líneas de colores";"seguidor-de-lineas-de-colores";4606387;4;"Alvarorico, javierrobi, CarlosMiguelMartin, PabloSanchz";"twIA_2021-seguidor-de-lineas-de-colores";"https://github.com/aigora/twIA_2021-seguidor-de-lineas-de-colores"
"serpiente_game";"serpiente_game";4621351;3;"MartinNieto, Diegosillero, jes550";"twIQ_2021-serpiente_game";"https://github.com/aigora/twIQ_2021-serpiente_game"
"Snake.Tripulantes";"snake-tripulantes";4631466;3;"marcosvasallo9, antonioporrashervella, Kattyvasq";"twIQ_2021-snake-tripulantes";"https://github.com/aigora/twIQ_2021-snake-tripulantes"
"SnakeTripulantes";"snaketripulantes";4618213;3;"marcosvasallo9, antonioporrashervella, Kattyvasq";NA;NA
"SPACE_UPM";"space_upm";4628842;5;"Crisboned, Ikercasti, Lucas-Go-Vel, Garrudo-404, daniel-fuertes";"twIA_2021-space_upm";"https://github.com/aigora/twIA_2021-space_upm"
"StarGames";"stargames";4629359;3;"Moiseees, alejandrogomez27, zhiqinHU";"twIQ_2021-stargames";"https://github.com/aigora/twIQ_2021-stargames"
"TablaPeridodica";"tablaperidodica";4617547;3;"davidmolano25, heeeectorito, IkertxoGM";"twIQ_2021-tablaperidodica";"https://github.com/aigora/twIQ_2021-tablaperidodica"
"Trivial Violetos";"trivial-violetos";4615320;3;"Violetacarrascal, miguelagueda1, Escobar-klk";NA;NA
"TupmTaller";"tupmtaller";4630101;2;"Samuuu-r, ismaelsaiz";"twIQ_2021-tupmtaller";"https://github.com/aigora/twIQ_2021-tupmtaller"
"twIQ-2021-BaseDatos";"twiq-2021-basedatos";4631265;2;"MasterCus, arturobcas";"twIQ_2021-twiq-2021-basedatos";"https://github.com/aigora/twIQ_2021-twiq-2021-basedatos"
"twIQ_2021-biblioteca";"twiq_2021-biblioteca";4617326;1;"nerearodriguezlopez";NA;NA
"TwIQ_2021-EDI.ts";"twiq_2021-edi-ts";4609700;1;"danicuellar";NA;NA
"twIQ_2021-Fitnesshub";"twiq_2021-fitnesshub";4631691;2;"SergioRodrigu, 5614867";"twIQ_2021-twiq_2021-fitnesshub";"https://github.com/aigora/twIQ_2021-twiq_2021-fitnesshub"
"twIQ_2021-NBA_GOATS";"twiq_2021-nba_goats";4620055;2;"Diego105, adnantalib3";NA;NA
"twIQ_2021-TrivialVioletos";"twiq_2021-trivialvioletos";4609680;2;"Violetacarrascal, miguelagueda1";NA;NA
"TwIQ_2021_Anuelometro";"twiq_2021_anuelometro";4629164;2;"bejar08, phelpslaorg";"twIQ_2021-twiq_2021_anuelometro";"https://github.com/aigora/twIQ_2021-twiq_2021_anuelometro"
"twIQ_2021_LosSistemaSolar";"twiq_2021_lossistemasolar";4609849;3;"IreneJimenezCasas, Patrycya, Danielgomezchaves";"twIQ_2021-twiq_2021_lossistemasolar";"https://github.com/aigora/twIQ_2021-twiq_2021_lossistemasolar"
"TwlQ_2021_EATSIDI_AND_GO";"twlq_2021_eatsidi_and_go";4623615;3;"aaronnieto, alfredosecades, anarecio02";"TwIQ_2021_EATSIDI_AND_GO";"https://github.com/aigora/TwIQ_2021_EATSIDI_AND_GO"
"Ultimatum";"ultimatum";4630140;3;"darlennev, susanaramos02, GabiNavarroNavarro";"twIQ_2021-ultimatum";"https://github.com/aigora/twIQ_2021-ultimatum"
"Vehiculo_autonomo";"vehiculo_autonomo";4617889;5;"Gallego1502, Eugenio-Fernandez, juanpablodemiguel, ivanguerrero2002, OmarFL";"twIA_2021-vehiculo_autonomo";"https://github.com/aigora/twIA_2021-vehiculo_autonomo"
